L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1095.06,1119.13,1133.82,1032.39,1032.04,1022.49,1047.9,1101.4,1162.93,1129.41,1061.52,1115.4,1041.52,1068.63,1055.31,994.4,1066.63,1134.26,1082.92,902.31,961.92
1090.03,1120.51,1134.46,1031.23,1029.11,1022.5,1047.92,1098.77,1160.4,1124.8,1057.59,1111.23,1041.17,1066.06,1052.82,993.35,1065.43,1134.95,1083.11,900.49,960.2
1094.45,1121.5,1134.71,1031.74,1029.18,1021.86,1047.93,1102.19,1160.87,1122.89,1062.24,1115.14,1041.76,1065.39,1051.72,993.65,1067.08,1137.61,1083.58,904.73,962.48
1094.95,1120.79,1136.72,1031.92,1031.92,1024.68,1048.57,1102.19,1164.27,1128.46,1061.77,1118.44,1041.66,1067.87,1056.07,992.91,1068.31,1134.02,1086.78,907.12,965.34
1094.78,1120.55,1135.71,1032.53,1031.6,1023.99,1046.76,1098.05,1164.96,1129.4,1061.9,1114.02,1039.67,1066.59,1057.28,991.29,1065.56,1135.1,1085.14,904.06,963.97
1096.55,1121.13,1135.63,1033.52,1030.15,1024.95,1047.66,1100.25,1162.47,1130.41,1061.45,1112.96,1040.03,1066.21,1057.32,993.47,1068.86,1134.24,1086.31,904.26,965.65
1094.27,1120.03,1136.11,1032.29,1032.11,1023.56,1048.71,1099.89,1163.26,1128.95,1060.57,1113.46,1041.42,1067.11,1056.16,993.5,1067.25,1131.31,1084.88,904.12,964.25
1095.21,1122.46,1138.65,1033.59,1031.35,1023.49,1048.52,1101.98,1162.44,1130.86,1061.95,1114.64,1039.68,1066.92,1055.73,993.78,1068.35,1139.58,1087.31,903.15,962.91
1097.49,1122.66,1138.02,1032.12,1031.78,1024.61,1048.43,1099.14,1161.47,1131.68,1061.63,1110.56,1040.42,1065.76,1056.99,992.83,1069.84,1133.65,1086.43,906.55,965.34
1097.41,1121.71,1137.86,1034.02,1031.3,1024.37,1049.28,1102.65,1163.07,1135.32,1062.74,1117.48,1040.37,1067.16,1056.65,993.38,1068.63,1135.32,1086.06,905.45,965.46
1096.03,1121.64,1137.18,1031.85,1030.75,1024.14,1047.39,1103.01,1162.58,1132.54,1059.68,1114.88,1040.69,1068.22,1054.06,994.8,1069.62,1133.74,1085.61,906.33,965.13
1094.68,1119.54,1137,1033.08,1031.93,1024.36,1047.21,1101.26,1164.51,1128.92,1059.68,1114.51,1039.87,1067.84,1052.5,994.53,1067.38,1130.31,1085.28,902.71,962.98
1095.26,1120.66,1136.21,1033.43,1031.85,1022.83,1046.68,1100.21,1164.31,1127.3,1060.71,1112.04,1041.15,1068.9,1052.49,993.55,1066.55,1134.22,1084.75,901.63,962.23
1093.79,1120.08,1136.95,1034.06,1032.09,1024.4,1047.13,1100.94,1164.04,1128.04,1060.72,1114.01,1042.1,1067.96,1052.61,994.08,1063.28,1136.61,1085.43,901.36,962.28
1094.06,1121.12,1136.97,1033.74,1030.36,1024.6,1047.12,1102.31,1163.52,1127.73,1060.67,1112.75,1041.74,1067.14,1052.15,994.06,1065.37,1137.39,1086.03,902.1,962.47
1096.28,1121.59,1137.15,1033.13,1030.52,1025.54,1048.07,1099.98,1162.41,1131.24,1062.63,1112.06,1041.84,1067.22,1055.28,993.8,1067.3,1134.69,1084.79,906.42,963.81
1096.58,1121.9,1136.39,1031.41,1029.98,1024.72,1047.46,1100.08,1161.24,1130.41,1062.59,1111.68,1041.78,1065.82,1053.15,994.36,1067.33,1135.01,1085.11,905.89,963.18
1093.91,1121.79,1137.62,1030.45,1029.76,1024.25,1048.04,1099.81,1160.43,1129.67,1061.41,1110.24,1043.06,1066.26,1054,993.53,1069.78,1135.95,1086.48,906.18,964.43
1094.34,1121.78,1138.01,1030.86,1030,1023.75,1047.56,1101.4,1162.52,1127.21,1062.07,1114.01,1043.26,1067.08,1053.79,994.31,1068.91,1136.52,1085.43,906.54,964.45
1096.92,1122.25,1137.74,1032.86,1030.18,1023.44,1048.09,1100.33,1162.71,1128.15,1062.54,1110.79,1044.04,1068.06,1054.71,994.88,1068.39,1137.93,1086.64,907.88,964.27
1093.91,1119.22,1134.94,1032.69,1030.17,1021.99,1045.36,1099.48,1161.23,1123.79,1060.71,1111.3,1042.16,1066.8,1052.18,992.48,1065.76,1132,1083.19,904.92,962.57
1093.9,1120.91,1137.23,1032.44,1029.27,1024.18,1046.31,1100.67,1161.84,1125.16,1060.74,1113.68,1040.89,1065.46,1053.3,992.8,1064.69,1136.36,1085.07,902.72,961.85
1091.74,1119.55,1136.01,1030.57,1029.38,1022.77,1047.6,1096.47,1160.89,1126.55,1058.04,1106.26,1039.27,1065.11,1049.5,992.18,1063.75,1134.47,1084.36,899.67,960.67
1093.69,1118.5,1135.57,1031.39,1029.23,1021.64,1046.28,1099.09,1160.25,1122.85,1058.96,1113.4,1039.55,1065.28,1049.37,991.41,1063.66,1134.37,1085.07,901.35,961.88
1092.89,1119.77,1134.72,1031.98,1029.25,1022.81,1045.47,1098.11,1161.52,1125.35,1059.27,1110.07,1039.14,1063.38,1052.06,991.13,1065.33,1136.36,1084.1,900.25,961.16
1091.39,1119.25,1133.9,1031.11,1029.06,1023.42,1044.85,1097.89,1159.78,1124.93,1058.23,1111.56,1040.17,1064.62,1050.99,991.32,1064.45,1138.28,1083.42,901.21,961.49
1094.47,1119.18,1135.25,1031.65,1029.92,1023.12,1046.06,1097.67,1161.83,1123.46,1057.94,1109.42,1040.71,1065.64,1049.96,991.24,1065.95,1138.31,1082.85,900.76,961.51
1096.3,1120.4,1134.31,1031.1,1030.55,1022.54,1046.8,1100.45,1162.25,1126.66,1058.44,1112.81,1042.04,1067.55,1051.85,994.35,1066.79,1135.63,1083.81,901.42,963.53
1093.05,1121.49,1135.95,1029.9,1029.89,1023.94,1046.38,1099.26,1163.44,1127.34,1058.19,1109.44,1039.27,1066.33,1051.66,993.74,1067.14,1137.51,1084.6,901.62,962.73
1096.41,1122.41,1136.95,1032.49,1031.44,1024.51,1048.98,1101.65,1166.88,1131.9,1063.36,1112.7,1041.49,1068.75,1051.78,995.76,1067.04,1137.45,1086.25,904.03,963.33
1094.93,1120.38,1136.41,1031.96,1030.78,1022.96,1047.49,1102.39,1167.24,1133.81,1060.88,1112.25,1041.51,1068.75,1054.42,996.34,1066.59,1134.99,1085.73,903.25,962.8
1091.32,1121.02,1136.55,1031.38,1029.63,1022.53,1045.93,1099.76,1164.55,1130,1059.62,1113.36,1040.38,1066.05,1054.73,993.34,1064.53,1134.17,1084.9,901.25,961.92
1095.41,1120.31,1136.74,1031.8,1029.42,1022.64,1047.34,1101.34,1163,1127.89,1062.18,1114.47,1042.03,1065.14,1053.18,993.66,1063.91,1138.81,1084.55,900.75,960.38
1093.49,1119.71,1136.29,1031.1,1028.64,1023.01,1046.81,1098.7,1161.76,1125.21,1058.8,1112.48,1040,1064.19,1051.36,993.03,1064.3,1135.86,1083.38,898.85,960.71
1094.4,1120.6,1137.46,1031.87,1030.66,1024.03,1046.82,1100.21,1164.49,1125.02,1059.34,1111.3,1039.04,1064.67,1053.76,993.06,1063.38,1135.1,1085.42,902.36,961.2
1095.61,1120.6,1138.83,1032.66,1032.43,1025.79,1049.06,1103.51,1166.04,1131.08,1061.97,1115.14,1041.51,1067.24,1052.22,994.67,1064.24,1131.38,1085.83,905.2,964.45
1096.58,1120.53,1137.24,1033.22,1030.98,1025.34,1049.53,1100.78,1163.64,1129.17,1061.87,1112.76,1041.01,1066.38,1051.79,993.41,1065.94,1133.93,1083.74,905.71,963.96
1096.44,1121.82,1138.65,1031.77,1030.84,1025.19,1049.17,1099.93,1164.09,1130.91,1061.47,1113.56,1040.97,1067.72,1053.05,995.12,1065.67,1137.34,1086.79,902.88,962.85
1093.65,1121.82,1137.59,1031.07,1031.07,1023.46,1046.71,1099.91,1161.72,1128.3,1058.39,1111.49,1039.57,1067.66,1052.19,994.35,1064.73,1130.62,1086.12,902.2,961.95
1092.5,1121.06,1137.63,1030.81,1030.04,1024.06,1045.35,1100.11,1161.1,1123.9,1057.61,1112.85,1038.83,1064.42,1051.44,992.58,1063.61,1135.32,1084.38,901.74,961.12
1093.19,1119.28,1135.37,1029.93,1029.3,1022.85,1045.44,1098.82,1161.44,1122.97,1058.93,1109.94,1038.75,1066.99,1051.63,991.96,1065.12,1135.68,1083.46,901.37,961.15
